ubigeo,fecha,temp_min
160101,2022-06-04,22.274799118745644
160101,2022-06-05,22.42936856115291
160101,2022-06-06,23.165239183830515
160101,2022-06-07,22.222920019981593
160101,2022-06-08,22.457532526350487
160101,2022-06-09,22.813413585316074
160101,2022-06-10,23.056524272210066
160101,2022-06-11,22.29323559586398
160101,2022-06-12,21.482879727128648
160101,2022-06-13,20.384319127501257
160101,2022-06-14,18.61145778248906
160101,2022-06-15,19.92975342842275
160101,2022-06-16,22.136892776589796
160101,2022-06-17,22.730436973923617
160101,2022-06-18,22.944909306100257
160101,2022-06-19,21.79000847254819
160101,2022-06-20,21.573972486413066
160101,2022-06-21,22.462336954109304
160101,2022-06-22,22.20349095762956
160101,2022-06-23,22.13055625784855
160101,2022-06-24,22.25651713937955
160101,2022-06-25,22.378451469733015
